|-------------------------------------------------------|------------------|--------------------|--------------------|--------------------|------------------|--------------------|
| FeatureName                                           | Min              | Pctl25             | Median             | Pctl75             | Max              | ImportancePct      |
|-------------------------------------------------------|------------------|--------------------|--------------------|--------------------|------------------|--------------------|
| year                                                  |             2000 |               2020 |               2023 |               2024 |             2024 |                  0 |
|-------------------------------------------------------|------------------|--------------------|--------------------|--------------------|------------------|--------------------|
| num_storeys                                           |                1 |                  1 |                  2 |                  2 |                4 |                  0 |
|-------------------------------------------------------|------------------|--------------------|--------------------|--------------------|------------------|--------------------|
| num_classrooms                                        |                1 |                  4 |                  4 |                  8 |               20 |                  0 |
|-------------------------------------------------------|------------------|--------------------|--------------------|--------------------|------------------|--------------------|
| quantityofplaster_sq_m__                              |                0 |        208779.9987 |        357632.8124 |        568531.6409 |     2051270.6516 |  0.187275627285264 |
|-------------------------------------------------------|------------------|--------------------|--------------------|--------------------|------------------|--------------------|
| quantityofglazedtiles_sq_m__                          |                0 |          72519.959 |        139611.9375 |        252867.0144 |       2439919.35 |  0.948673225490109 |
|-------------------------------------------------------|------------------|--------------------|--------------------|--------------------|------------------|--------------------|
| total_painting_area                                   |                0 |         420280.572 |       769410.02995 |          1214922.5 |          5407870 |  0.607870144634369 |
|-------------------------------------------------------|------------------|--------------------|--------------------|--------------------|------------------|--------------------|
| total_chb_area                                        |       94101.2154 |         448439.896 |       672537.16785 |          995581.28 |     2734342.9311 |   2.55334097957447 |
|-------------------------------------------------------|------------------|--------------------|--------------------|--------------------|------------------|--------------------|
| total_finishes_area                                   |        80590.707 |         267771.648 |          487523.95 |        848921.1077 |     3371616.2772 |  0.243165315065183 |
|-------------------------------------------------------|------------------|--------------------|--------------------|--------------------|------------------|--------------------|
| plaster_per_chb                                       |                0 |  0.381311521159626 |   0.52781751270714 |  0.627462215745874 | 4.38803535603922 |  0.552016375395872 |
|-------------------------------------------------------|------------------|--------------------|--------------------|--------------------|------------------|--------------------|
| tiles_per_chb                                         |                0 |   0.11950284917286 |  0.178836205379257 |  0.306853844992746 | 1.69884641104083 |   0.25392668868659 |
|-------------------------------------------------------|------------------|--------------------|--------------------|--------------------|------------------|--------------------|
| year^2                                                |          4000000 |            4080400 |            4092529 |            4096576 |          4096576 |                  0 |
|-------------------------------------------------------|------------------|--------------------|--------------------|--------------------|------------------|--------------------|
| year*num_storeys                                      |             2000 |               2024 |               4040 |               4048 |             8096 |  0.165001343231333 |
|-------------------------------------------------------|------------------|--------------------|--------------------|--------------------|------------------|--------------------|
| year*num_classrooms                                   |             2018 |               8076 |               8096 |              16136 |            40400 |   1.92775478613911 |
|-------------------------------------------------------|------------------|--------------------|--------------------|--------------------|------------------|--------------------|
| year*quantityofplaster_sq_m__                         |                0 |     421526817.3753 |      722489463.225 |    1150708041.1816 |     4146233625.6 |                  0 |
|-------------------------------------------------------|------------------|--------------------|--------------------|--------------------|------------------|--------------------|
| year*quantityofglazedtiles_sq_m__                     |                0 |      146707877.057 |       282016113.75 |     511549970.1312 |     4923757248.3 |                  0 |
|-------------------------------------------------------|------------------|--------------------|--------------------|--------------------|------------------|--------------------|
| year*total_painting_area                              |                0 |      850647877.728 |     1555815517.666 |         2459003140 |      10907673790 |                  0 |
|-------------------------------------------------------|------------------|--------------------|--------------------|--------------------|------------------|--------------------|
| year*total_chb_area                                   |   190366758.7542 |      905400150.024 |     1359869126.725 |      2014060929.44 |  5534310092.5464 |                  0 |
|-------------------------------------------------------|------------------|--------------------|--------------------|--------------------|------------------|--------------------|
| year*total_finishes_area                              |    162551456.019 |      541702043.904 |      985535106.475 |    1715669558.6617 |  6803921647.3896 |                  0 |
|-------------------------------------------------------|------------------|--------------------|--------------------|--------------------|------------------|--------------------|
| year*plaster_per_chb                                  |                0 |   771.774518827083 |   1066.97324217004 |    1269.3560624539 | 8850.66731313111 |                  0 |
|-------------------------------------------------------|------------------|--------------------|--------------------|--------------------|------------------|--------------------|
| year*tiles_per_chb                                    |                0 |   241.873766725869 |    361.42691030527 |   620.765328420325 | 3428.27205748039 |                  0 |
|-------------------------------------------------------|------------------|--------------------|--------------------|--------------------|------------------|--------------------|
| num_storeys^2                                         |                1 |                  1 |                  4 |                  4 |               16 |                  0 |
|-------------------------------------------------------|------------------|--------------------|--------------------|--------------------|------------------|--------------------|
| num_storeys*num_classrooms                            |                1 |                  4 |                  8 |                 16 |               80 |                  0 |
|-------------------------------------------------------|------------------|--------------------|--------------------|--------------------|------------------|--------------------|
| num_storeys*quantityofplaster_sq_m__                  |                0 |         248771.094 |        722644.0736 |         1243193.25 |     8205082.6064 |                  0 |
|-------------------------------------------------------|------------------|--------------------|--------------------|--------------------|------------------|--------------------|
| num_storeys*quantityofglazedtiles_sq_m__              |                0 |         91869.8971 |         277913.241 |        684854.7048 |        9759677.4 |                  0 |
|-------------------------------------------------------|------------------|--------------------|--------------------|--------------------|------------------|--------------------|
| num_storeys*total_painting_area                       |                0 |        568402.6308 |        1523791.407 |       2742072.5728 |         21631480 |   7.18983910912559 |
|-------------------------------------------------------|------------------|--------------------|--------------------|--------------------|------------------|--------------------|
| num_storeys*total_chb_area                            |       94101.2154 |        638760.3589 |       1354547.6286 |         2178622.98 |         10634530 |  0.642238480810568 |
|-------------------------------------------------------|------------------|--------------------|--------------------|--------------------|------------------|--------------------|
| num_storeys*total_finishes_area                       |        80590.707 |         346622.794 |       1003118.4845 |            1973882 |    13486465.1088 |   15.0764714517743 |
|-------------------------------------------------------|------------------|--------------------|--------------------|--------------------|------------------|--------------------|
| num_storeys*plaster_per_chb                           |                0 |  0.579022576205834 |   1.07649781531136 |   1.47223354857653 | 17.5521414241569 |  0.647303606626118 |
|-------------------------------------------------------|------------------|--------------------|--------------------|--------------------|------------------|--------------------|
| num_storeys*tiles_per_chb                             |                0 |  0.157579985524203 |  0.362762104228753 |  0.704571648753226 | 6.79538564416331 |                  0 |
|-------------------------------------------------------|------------------|--------------------|--------------------|--------------------|------------------|--------------------|
| num_classrooms^2                                      |                1 |                 16 |                 16 |                 64 |              400 |                  0 |
|-------------------------------------------------------|------------------|--------------------|--------------------|--------------------|------------------|--------------------|
| num_classrooms*quantityofplaster_sq_m__               |                0 |        594532.7028 |       1556465.7448 |       3404204.8752 |    32820330.4256 | 0.0554230006277514 |
|-------------------------------------------------------|------------------|--------------------|--------------------|--------------------|------------------|--------------------|
| num_classrooms*quantityofglazedtiles_sq_m__           |                0 |        279967.8258 |        602793.4612 |          1704499.2 |       19519354.8 |  0.116389227141964 |
