rank,feature,importance,percent_of_total
1,num_classrooms*total_chb_area,0.00114774350632411,42.1510866896224
2,num_storeys*total_finishes_area,0.000410521378356657,15.0764714517743
3,quantityofglazedtiles_sq_m__*total_chb_area,0.000374752610136535,13.7628570059334
4,num_storeys*total_painting_area,0.000195774102095586,7.18983910912559
5,total_chb_area*total_finishes_area,0.000160734416705081,5.90300036132685
6,total_painting_area*total_chb_area,8.25430974468892e-05,3.03141009898362
7,total_chb_area,6.95256222055918e-05,2.55334097957447
8,year*num_classrooms,5.24913640748701e-05,1.92775478613911
9,num_classrooms*total_painting_area,4.40154707241094e-05,1.6164760784563
10,quantityofglazedtiles_sq_m__,2.58316835861765e-05,0.948673225490109
11,num_storeys*plaster_per_chb,1.76256075340571e-05,0.647303606626118
12,num_storeys*total_chb_area,1.74876878332836e-05,0.642238480810567
13,num_classrooms*total_finishes_area,1.74243973216518e-05,0.639914125388192
14,total_painting_area,1.65518629763859e-05,0.607870144634369
15,plaster_per_chb,1.50310053667293e-05,0.552016375395872
16,total_painting_area*total_finishes_area,1.17646024265163e-05,0.432057139959106
17,plaster_per_chb*tiles_per_chb,9.74299664644321e-06,0.357813304103293
18,tiles_per_chb,6.91423948731008e-06,0.25392668868659
19,total_finishes_area,6.62121509190016e-06,0.243165315065183
20,total_painting_area*plaster_per_chb,6.26067811377255e-06,0.229924529701436
