FeatureName,Min,Pctl25,Median,Pctl75,Max,ImportancePct
year,2000,2020,2023,2024,2024,2.72215955508218
num_storeys,1,2,2,2,4,0
num_classrooms,1,4,4,6,20,0.406889890249199
total_electrical_cost,21034.28,211290.8,389791.325,791666.63,3882506.25,1.12428435312627
total_plumbing_sewer_cost,0,148806,226021.96,341252.74,2491125,1.09217318173823
electrical_cost_per_classroom,1708,57444.53,85363.563,152227.015,479556,0.731618841596599
plumbing_cost_per_classroom,0,32365.8558333333,48646.5125,71571.78,207593.75,0.321304085194973
fire_alarm_cost_per_classroom,0,0,6703.7575,16233.2066666667,296982.531666667,0.298144220989666
year^2,4000000,4080400,4092529,4096576,4096576,0
year*num_storeys,2000,4034,4041,4048,8096,2.24805729102115
year*num_classrooms,2018,8076,8092,12144,40400,34.6497124763771
year*total_electrical_cost,42552348.44,426173543.6,787360512.4,1601541592.49,7858192650,0
year*total_plumbing_sewer_cost,0,301183344,457468447.04,690354293.02,5042037000,0
year*electrical_cost_per_classroom,3445036,116037950.6,172588301.33,307194116.27,968703120,0
year*plumbing_cost_per_classroom,0,65508492.2066667,98363166.22,144574995.6,420169750,0
year*fire_alarm_cost_per_classroom,0,0,13541590.15,32839777.0866667,600795661.561667,0
num_storeys^2,1,4,4,4,16,0
num_storeys*num_classrooms,1,5,8,16,80,11.3324027806989
num_storeys*total_electrical_cost,21034.28,347848,708176.49,1692294.68,15530025,13.4869091765942
num_storeys*total_plumbing_sewer_cost,0,209664,421642.28,744490.32,9964500,0
num_storeys*electrical_cost_per_classroom,6832,90565,162656.755,310042.07,1294168.75,1.91837155244348
num_storeys*plumbing_cost_per_classroom,0,53259.9025,90113.94,153346.945,830375,3.55220173175951
num_storeys*fire_alarm_cost_per_classroom,0,0,13407.515,34690.5,890947.595,0.932481364682838
num_classrooms^2,1,16,16,36,400,0
num_classrooms*total_electrical_cost,42068.56,804816,1649928.24,4403022,46590075,19.2928714388421
num_classrooms*total_plumbing_sewer_cost,0,488606.08,1021664.55,2003652,29893500,1.01532184115328
num_classrooms*electrical_cost_per_classroom,21034.28,211290.8,389791.325,791666.63,3882506.25,0
num_classrooms*plumbing_cost_per_classroom,0,148806,226021.96,341252.74,2491125,0
num_classrooms*fire_alarm_cost_per_classroom,0,0,31752,71529.71,1781895.19,2.06050089642591
total_electrical_cost^2,442440935.1184,44643802164.64,151938731324.48,626736053055.557,15073854781289.1,0
total_electrical_cost*total_plumbing_sewer_cost,0,30065380224,81111801822.7545,288750098218.712,9671808382031.25,0.699955608976514
total_electrical_cost*electrical_cost_per_classroom,46676224,13199496107.6836,30749042500,98690222500,1256154565107.42,0.595332673738116
total_electrical_cost*plumbing_cost_per_classroom,0,7632030261.79787,19060223019.0702,50793629259.4337,805984031835.938,0
total_electrical_cost*fire_alarm_cost_per_classroom,0,0,2579529983.11357,15226862112,337850840742.188,0.348508632346057
total_plumbing_sewer_cost^2,0,22143225636,51090412495.6832,116453432557.508,6205703765625,0
total_plumbing_sewer_cost*electrical_cost_per_classroom,0,7632030261.79787,19060223019.0702,50793629259.4337,805984031835.938,0
total_plumbing_sewer_cost*plumbing_cost_per_classroom,0,5253125000,11897349111.8097,26736022895.6139,517141980468.75,0.331454033493995
total_plumbing_sewer_cost*fire_alarm_cost_per_classroom,0,0,1538828928,5152991915.20327,216774583593.75,0
electrical_cost_per_classroom^2,2917264,3299874026.9209,7286938139.94361,23173064095.8102,229973957136,0
electrical_cost_per_classroom*plumbing_cost_per_classroom,0,1935973740.06693,3783695554.44953,9016815816.52824,67165335986.3281,0.839344373469742
electrical_cost_per_classroom*fire_alarm_cost_per_classroom,0,0,385094198.821475,2534548734.375,33269892482.7675,0
plumbing_cost_per_classroom^2,0,1047548623.82412,2366484861.66841,5122519692.3684,43095165039.0625,0
plumbing_cost_per_classroom*fire_alarm_cost_per_classroom,0,0,268042941.305667,973992400,21740100554.25,0
fire_alarm_cost_per_classroom^2,0,0,44940364.6188062,263516998.682711,88198624115.1427,0
