|-------------------------------------------------|---------------------|----------------------|----------------------|----------------------|----------------------|----------------------|
| FeatureName                                     | Min                 | Pctl25               | Median               | Pctl75               | Max                  | ImportancePct        |
|-------------------------------------------------|---------------------|----------------------|----------------------|----------------------|----------------------|----------------------|
| year                                            |                2000 |                 2020 |                 2023 |                 2024 |                 2024 |     2.03589243720522 |
|-------------------------------------------------|---------------------|----------------------|----------------------|----------------------|----------------------|----------------------|
| num_storeys                                     |                   1 |                    1 |                    2 |                    2 |                    4 |                    0 |
|-------------------------------------------------|---------------------|----------------------|----------------------|----------------------|----------------------|----------------------|
| num_classrooms                                  |                   1 |                    4 |                    4 |                    8 |                   20 |                    0 |
|-------------------------------------------------|---------------------|----------------------|----------------------|----------------------|----------------------|----------------------|
| total_gross_floor_area                          |                 170 |           76424.5013 |          199862.7153 |         500762.41125 |             29746516 |     6.00050682167469 |
|-------------------------------------------------|---------------------|----------------------|----------------------|----------------------|----------------------|----------------------|
| total_concrete_volume                           |            791.9114 |          16004.86505 |           34947.0581 |        104649.015025 |         1310727.3169 |    0.752827463698971 |
|-------------------------------------------------|---------------------|----------------------|----------------------|----------------------|----------------------|----------------------|
| total_reinforcing_steel                         |           801741.16 |      318017712.11955 |     1099357064.10175 |      3196917474.8641 |     27294755514.1577 |     3.88629939337479 |
|-------------------------------------------------|---------------------|----------------------|----------------------|----------------------|----------------------|----------------------|
| areaofformworks_sq_m__                          |                   0 |         249361.96105 |          922598.6704 |          2089973.405 |             28111204 |    0.134967946092027 |
|-------------------------------------------------|---------------------|----------------------|----------------------|----------------------|----------------------|----------------------|
| concrete_per_floor_area                         | 0.00243225682910492 |    0.138872451731457 |    0.190843753996985 |    0.266927639178394 |     82.0169788235294 |      0.8387392119047 |
|-------------------------------------------------|---------------------|----------------------|----------------------|----------------------|----------------------|----------------------|
| steel_per_concrete                              |    59.8814617057546 |     21512.5041550647 |     26521.9860003157 |     36615.3446916082 |     136277.074071496 |    0.752552275947659 |
|-------------------------------------------------|---------------------|----------------------|----------------------|----------------------|----------------------|----------------------|
| year^2                                          |             4000000 |              4080400 |              4092529 |              4096576 |              4096576 |                    0 |
|-------------------------------------------------|---------------------|----------------------|----------------------|----------------------|----------------------|----------------------|
| year*num_storeys                                |                2000 |                 2024 |                 4040 |                 4048 |                 8096 |                    0 |
|-------------------------------------------------|---------------------|----------------------|----------------------|----------------------|----------------------|----------------------|
| year*num_classrooms                             |                2018 |                 8074 |                 8096 |                16136 |                40400 |     2.31798340605432 |
|-------------------------------------------------|---------------------|----------------------|----------------------|----------------------|----------------------|----------------------|
| year*total_gross_floor_area                     |              340000 |       154683190.6312 |       404022099.4147 |       1012544880.725 |          60028469288 | 0.000161639307301685 |
|-------------------------------------------------|---------------------|----------------------|----------------------|----------------------|----------------------|----------------------|
| year*total_concrete_volume                      |        1598077.2052 |        32393846.8612 |         70593057.362 |     211704957.395575 |      2652912089.4056 |                    0 |
|-------------------------------------------------|---------------------|----------------------|----------------------|----------------------|----------------------|----------------------|
| year*total_reinforcing_steel                    |       1620318884.36 |     643511025403.959 |     2222357902964.22 |     6467364051650.07 |     55244585160655.2 |                    0 |
|-------------------------------------------------|---------------------|----------------------|----------------------|----------------------|----------------------|----------------------|
| year*areaofformworks_sq_m__                     |                   0 |      504045263.38495 |      1866417110.2192 |        4223048771.72 |          56784632080 |                    0 |
|-------------------------------------------------|---------------------|----------------------|----------------------|----------------------|----------------------|----------------------|
| year*concrete_per_floor_area                    |    4.92288782210835 |      280.10573514235 |     385.885355647045 |     540.261541697069 |     164033.957647059 |                    0 |
|-------------------------------------------------|---------------------|----------------------|----------------------|----------------------|----------------------|----------------------|
| year*steel_per_concrete                         |     121020.43410733 |     43532363.3619876 |     53614188.3038841 |     73999454.9235836 |     274870858.402208 |                    0 |
|-------------------------------------------------|---------------------|----------------------|----------------------|----------------------|----------------------|----------------------|
| num_storeys^2                                   |                   1 |                    1 |                    4 |                    4 |                   16 |                    0 |
|-------------------------------------------------|---------------------|----------------------|----------------------|----------------------|----------------------|----------------------|
| num_storeys*num_classrooms                      |                   1 |                    4 |                    8 |                   17 |                   80 |                    0 |
|-------------------------------------------------|---------------------|----------------------|----------------------|----------------------|----------------------|----------------------|
| num_storeys*total_gross_floor_area              |                 170 |           76424.5013 |          399421.7792 |         1361487.5273 |            118986064 |     5.94108974572452 |
|-------------------------------------------------|---------------------|----------------------|----------------------|----------------------|----------------------|----------------------|
| num_storeys*total_concrete_volume               |            791.9114 |           17897.0884 |          69676.35935 |          253059.2082 |         5242909.2676 |     6.62209002081205 |
|-------------------------------------------------|---------------------|----------------------|----------------------|----------------------|----------------------|----------------------|
| num_storeys*total_reinforcing_steel             |          1603482.32 |      358445797.03285 |      2261052026.0025 |      6393834949.7282 |     109179022056.631 |                    0 |
|-------------------------------------------------|---------------------|----------------------|----------------------|----------------------|----------------------|----------------------|
| num_storeys*areaofformworks_sq_m__              |                   0 |          327275.5264 |         1845197.3408 |           4469504.04 |            112444816 |   0.0266757257929762 |
|-------------------------------------------------|---------------------|----------------------|----------------------|----------------------|----------------------|----------------------|
| num_storeys*concrete_per_floor_area             | 0.00486451365820983 |    0.234179982800882 |    0.316681205137296 |    0.596862480196699 |     82.0169788235294 |                    0 |
|-------------------------------------------------|---------------------|----------------------|----------------------|----------------------|----------------------|----------------------|
| num_storeys*steel_per_concrete                  |    119.762923411509 |      36168.471784341 |     53705.6608241671 |     84040.2295373419 |     545108.296285986 |    0.623663890293023 |
|-------------------------------------------------|---------------------|----------------------|----------------------|----------------------|----------------------|----------------------|
| num_classrooms^2                                |                   1 |                   16 |                   16 |                   64 |                  400 |                    0 |
|-------------------------------------------------|---------------------|----------------------|----------------------|----------------------|----------------------|----------------------|
| num_classrooms*total_gross_floor_area           |                 680 |          229273.5039 |           800058.164 |         3958278.4676 |            237972128 |                    0 |
|-------------------------------------------------|---------------------|----------------------|----------------------|----------------------|----------------------|----------------------|
| num_classrooms*total_concrete_volume            |           1021.2413 |           53691.2652 |          139788.2324 |          613993.9372 |        20971637.0704 |     3.59008570456567 |
|-------------------------------------------------|---------------------|----------------------|----------------------|----------------------|----------------------|----------------------|
| num_classrooms*total_reinforcing_steel          |          4810446.96 |      1052731987.8385 |        5018693300.56 |      20361198883.587 |      472618144648.25 |     5.42225732829055 |
|-------------------------------------------------|---------------------|----------------------|----------------------|----------------------|----------------------|----------------------|
