rank,feature,importance,percent_of_total
1,total_reinforcing_steel*steel_per_concrete,0.000113101990771132,29.0957185196081
2,total_concrete_volume*total_reinforcing_steel,4.82499377866711e-05,12.4123952094741
3,total_gross_floor_area*total_concrete_volume,4.57247966813389e-05,11.7627974939776
4,num_storeys*total_concrete_volume,2.5741641812858e-05,6.62209002081205
5,total_gross_floor_area,2.3325399807872e-05,6.00050682167469
6,num_storeys*total_gross_floor_area,2.30944314758394e-05,5.94108974572452
7,num_classrooms*total_reinforcing_steel,2.10776062426411e-05,5.42225732829055
8,total_reinforcing_steel,1.51069717638048e-05,3.88629939337479
9,num_classrooms*total_concrete_volume,1.39555185740375e-05,3.59008570456567
10,year*num_classrooms,9.01055382504174e-06,2.31798340605432
11,areaofformworks_sq_m__*concrete_per_floor_area,8.83289609515563e-06,2.27228059157372
12,total_gross_floor_area*areaofformworks_sq_m__,8.81226416319915e-06,2.26697298486735
13,year,7.91399901290024e-06,2.03589243720522
14,num_classrooms*steel_per_concrete,5.05726154809002e-06,1.30099087982474
15,total_concrete_volume*areaofformworks_sq_m__,3.88853162398351e-06,1.00033271576062
16,concrete_per_floor_area,3.26037917023091e-06,0.8387392119047
17,total_concrete_volume,2.92641973402905e-06,0.752827463698971
18,steel_per_concrete,2.92535001366837e-06,0.752552275947659
19,num_storeys*steel_per_concrete,2.42433014729206e-06,0.623663890293023
20,areaofformworks_sq_m__*steel_per_concrete,1.72722741889215e-06,0.444332787219713
